Key,LR,LR_DECAY,Weight Decay,Version

A_tot,1e-5,0,0,v0
A_tot,1e-5,0,0,v11
A_tot,1e-5,0,0,v12
A_tot,1e-5,0,0,v15
A_tot,1e-5,0,1e-4,v3
A_tot,1e-5,0,1e-3,v4
A_tot,1e-5,0,1e-2,v5
A_tot,1e-5,0.9,0,v18
A_tot,1e-5,0.9,0,v8
A_tot,1e-5,0.95,0,v17
A_tot,1e-5,0.95,0,v7
A_tot,1e-5,0.95,1e-3,v28
A_tot,1e-5,0.95,1e-3,v29
A_tot,1e-5,0.95,1e-4,v27
A_tot,1e-5,0.99,0,v16
A_tot,1e-5,0.99,0,v6
A_tot,1e-4,0,0,v1
A_tot,1e-4,0,0,v19
A_tot,1e-4,0.9,0,v22
A_tot,1e-4,0.9,0,v26
A_tot,1e-4,0.9,0,v9
A_tot,1e-4,0.95,0,v10
A_tot,1e-4,0.95,0,v13
A_tot,1e-4,0.95,0,v21
A_tot,1e-4,0.95,0,v25
A_tot,1e-4,0.99,0,v20
A_tot,1e-4,0.99,0,v24
A_tot,1e-3,0,0,v2
A_tot,1e-3,0,0,v23
A_tot,1e-3,0.95,0,v14

A_abs,1e-5,0,0,v30
A_abs,1e-5,0.95,0,v32
A_abs,1e-5,0.95,1e-4,v33
A_abs,1e-5,0.95,1e-3,v34
A_abs,1e-5,0.99,0,v31
A_abs,1e-4,0,0,v35
A_abs,1e-4,0.95,0,v37
A_abs,1e-4,0.95,1e-4,v38
A_abs,1e-4,0.99,0,v36
A_abs,1e-3,0,0,v42

A_sca,1e-5,0,0,v39
A_sca,1e-5,0.95,0,v41
A_sca,1e-5,0.99,0,v40

