lambd,r1,r2,eps_1,eps_2,eps_3,alpha,A_sca,A_abs,A_tot
1.879e-07,8e-09,1e-08,5.44200189409969,(0.2270560000000001+3.04128j),1.78,(3.6100178549746176e-35+2.482615327620888e-35j),1.6241107360383513e-18,9.375917786720546e-17,9.538328860324381e-17
1.916e-07,8e-09,1e-08,5.44200189409969,(0.295191+3.1759200000000005j),1.78,(3.647562105224088e-35+2.4545579474703906e-35j),1.5127282939804433e-18,9.090942752889272e-17,9.242215582287316e-17
1.9530000000000003e-07,8e-09,1e-08,5.44200189409969,(0.29252400000000045+3.28568j),1.78,(3.680027343727966e-35+2.4524158209791666e-35j),1.4177933099554009e-18,8.910929427205449e-17,9.052708758200989e-17
1.9930000000000002e-07,8e-09,1e-08,5.44200189409969,(0.2038990000000005+3.32766j),1.78,(3.6934116922436275e-35+2.476273249249273e-35j),1.3218101266119968e-18,8.817031769395753e-17,8.949212782056953e-17
2.0330000000000003e-07,8e-09,1e-08,5.44200189409969,(0.13817099999999982+3.3968200000000004j),1.78,(3.712531060660687e-35+2.492124172677961e-35j),1.2344164999311052e-18,8.698881952594591e-17,8.822323602587702e-17
2.0730000000000004e-07,8e-09,1e-08,5.44200189409969,(-0.010415999999999979+3.3904j),1.78,(3.7140883978320824e-35+2.5276562482255203e-35j),1.1527101932802138e-18,8.652664156312061e-17,8.767935175640082e-17
2.119e-07,8e-09,1e-08,5.44200189409969,(-0.13250000000000006+3.51j),1.78,(3.7415358689763185e-35+2.551197916534365e-35j),1.0727883536211804e-18,8.543667398759985e-17,8.650946234122103e-17
2.1640000000000003e-07,8e-09,1e-08,5.44200189409969,(-0.23376899999999926+3.6062j),1.78,(3.7598454288131865e-35+2.5699415991026783e-35j),9.975216735208104e-19,8.427468465198827e-17,8.527220632550909e-17
2.214e-07,8e-09,1e-08,5.44200189409969,(-0.3463289999999992+3.7102j),1.78,(3.7759299810951543e-35+2.590344279789479e-35j),9.203599498884286e-19,8.302540661826768e-17,8.394576656815611e-17
2.262e-07,8e-09,1e-08,5.44200189409969,(-0.4154999999999995+3.8252j),1.78,(3.791739076921491e-35+2.6047034677179716e-35j),8.52515694468902e-19,8.171406691458766e-17,8.256658260905656e-17
2.313e-07,8e-09,1e-08,5.44200189409969,(-0.5510089999999994+3.8922j),1.78,(3.795085441588912e-35+2.627315434966556e-35j),7.850716098875154e-19,8.060606542575238e-17,8.13911370356399e-17
2.371e-07,8e-09,1e-08,5.44200189409969,(-0.6168959999999999+4.05504j),1.78,(3.812846122426353e-35+2.6467620291294354e-35j),7.18958420586309e-19,7.921628652771678e-17,7.993524494830309e-17
2.426e-07,8e-09,1e-08,5.44200189409969,(-0.7445289999999998+4.16328j),1.78,(3.816193688588994e-35+2.672584355157112e-35j),6.609039250892741e-19,7.817569727179207e-17,7.883660119688135e-17
2.49e-07,8e-09,1e-08,5.44200189409969,(-0.8912609999999999+4.3384599999999995j),1.78,(3.8226111349082543e-35+2.7094328188339024e-35j),6.023167461025355e-19,7.721651169396485e-17,7.781882844006739e-17
2.551e-07,8e-09,1e-08,5.44200189409969,(-1.0804440000000006+4.490080000000002j),1.78,(3.8166600090570616e-35+2.752043335154622e-35j),5.514030329437282e-19,7.655542078238042e-17,7.710682381532414e-17
2.616e-07,8e-09,1e-08,5.44200189409969,(-1.236501+4.7223000000000015j),1.78,(3.8216251576400693e-35+2.8067677183046245e-35j),5.063136440042467e-19,7.613772072043604e-17,7.664403436444028e-17
2.689e-07,8e-09,1e-08,5.44200189409969,(-1.3464090000000009+4.97628j),1.78,(3.8366997344312796e-35+2.8652946544861544e-35j),4.625568461349192e-19,7.561529060958432e-17,7.607784745571924e-17
2.7610000000000004e-07,8e-09,1e-08,5.44200189409969,(-1.3665090000000002+5.28242j),1.78,(3.8786818458217684e-35+2.925069453805758e-35j),4.2832263321593765e-19,7.517975640583923e-17,7.560807903905516e-17
2.844e-07,8e-09,1e-08,5.44200189409969,(-1.3322610000000004+5.49486j),1.78,(3.9200544147122146e-35+2.96001052117202e-35j),3.889848133554433e-19,7.385753363822379e-17,7.424651845157923e-17
2.924e-07,8e-09,1e-08,5.44200189409969,(-1.3067840000000004+5.59644j),1.78,(3.9424615419651825e-35+2.975129491914347e-35j),3.5196666341093103e-19,7.220373158001478e-17,7.255569824342571e-17
3.009e-07,8e-09,1e-08,5.44200189409969,(-1.2274209999999999+5.78034j),1.78,(3.990714727649055e-35+2.996114296213941e-35j),3.2038721231793924e-19,7.065897406613114e-17,7.097936127844907e-17
3.107e-07,8e-09,1e-08,5.44200189409969,(-1.242549+5.79258j),1.78,(3.990074501984487e-35+3.001245793680728e-35j),2.8212806459052386e-19,6.854747303657537e-17,6.88296011011659e-17
3.204000000000001e-07,8e-09,1e-08,5.44200189409969,(-1.2308040000000005+5.845840000000001j),1.78,(4.0022151229797184e-35+3.0092839667238887e-35j),2.5093780615382807e-19,6.665025296800702e-17,6.690119077416085e-17
3.315e-07,8e-09,1e-08,5.44200189409969,(-1.355289+5.57368j),1.78,(3.929126234108656e-35+2.9791788168800515e-35j),2.1234153086475796e-19,6.37740762711931e-17,6.398641780205786e-17
3.425e-07,8e-09,1e-08,5.44200189409969,(-1.310241+5.53816j),1.78,(3.9316795816668263e-35+2.964546905551132e-35j),1.8583614992877338e-19,6.142269795542471e-17,6.160853410535349e-17
3.5420000000000004e-07,8e-09,1e-08,5.44200189409969,(-1.2319559999999994+5.598j),1.78,(3.956990842622033e-35+2.9622865141185364e-35j),1.6372009907422527e-19,5.934848578381664e-17,5.951220588289086e-17
3.679e-07,8e-09,1e-08,5.44200189409969,(-1.4006250000000002+5.6092j),1.78,(3.926435200370052e-35+2.994005443172403e-35j),1.4036297870990632e-19,5.775025895956933e-17,5.789062193827924e-17
3.815e-07,8e-09,1e-08,5.44200189409969,(-1.6048890000000005+5.64436j),1.78,(3.891268075775659e-35+3.036707293623636e-35j),1.213063235159965e-19,5.648583180646594e-17,5.660713812998193e-17
3.974e-07,8e-09,1e-08,5.44200189409969,(-1.649404+5.73888j),1.78,(3.8986615349185216e-35+3.0643204233652194e-35j),1.0398274583723064e-19,5.471891170790039e-17,5.4822894453737624e-17
4.1330000000000003e-07,8e-09,1e-08,5.44200189409969,(-1.7021640000000011+5.71736j),1.78,(3.8836580376376126e-35+3.069173723677182e-35j),8.856699703524345e-20,5.269715925957717e-17,5.2785726256612413e-17
4.3050000000000005e-07,8e-09,1e-08,5.44200189409969,(-1.6922040000000007+5.6492j),1.78,(3.8737873200339443e-35+3.052931154248629e-35j),7.469817332392673e-20,5.032398140896714e-17,5.039867958229107e-17
4.509e-07,8e-09,1e-08,5.44200189409969,(-1.758996000000001+5.28264j),1.78,(3.7996863546711597e-35+2.9857650411508684e-35j),5.958427267752953e-20,4.6990117582568466e-17,4.7049701855246e-17
4.714e-07,8e-09,1e-08,5.44200189409969,(-1.7027009999999996+4.84438j),1.78,(3.751420891834129e-35+2.886626620202299e-35j),4.785446758868631e-20,4.345424137521758e-17,4.350209584280627e-17
4.959e-07,8e-09,1e-08,5.44200189409969,(-2.278289000000001+3.812640000000001j),1.78,(3.559610960233852e-35+2.693643046694378e-35j),3.4751729155719565e-20,3.854580089865528e-17,3.8580552627811e-17
5.209e-07,8e-09,1e-08,5.44200189409969,(-3.946161+2.5804400000000003j),1.78,(2.927592152694568e-35+2.0770444271878314e-35j),1.8458007938156332e-20,2.8295838422242674e-17,2.831429643018083e-17
5.486e-07,8e-09,1e-08,5.44200189409969,(-5.842125+2.1113j),1.78,(1.570334497166481e-35+1.823273375605617e-35j),6.74212748307874e-21,2.3584524531985204e-17,2.3591266659468282e-17
5.820999999999998e-07,8e-09,1e-08,5.44200189409969,(-8.112669+1.6605400000000001j),1.78,(-5.958448348575971e-36+1.843766045465539e-35j),3.448919825943281e-21,2.2477052076604653e-17,2.2480500996430596e-17
6.168000000000002e-07,8e-09,1e-08,5.44200189409969,(-10.661884+1.37424j),1.78,(-4.057894099379562e-35+2.3660823553694958e-35j),1.6078458684429022e-20,2.7221786914319385e-17,2.7237865373003815e-17
6.595e-07,8e-09,1e-08,5.44200189409969,(-13.648209+1.03516j),1.78,(-1.1425208418852576e-34+3.7791526021109727e-35j),8.073881706737179e-20,4.066406280519745e-17,4.0744801622264825e-17
7.045000000000001e-07,8e-09,1e-08,5.44200189409969,(-16.817708999999994+1.0667799999999998j),1.78,(-3.092435371441031e-34+1.4373717924216456e-34j),4.979050409837147e-19,1.4478356253669644e-16,1.4528146757768014e-16
7.559999999999999e-07,8e-09,1e-08,5.44200189409969,(-20.610164+1.27176j),1.78,(5.853128076945511e-34+9.271173755000003e-34j),3.881395779244978e-18,8.702500626370641e-16,8.741314584163091e-16
8.211000000000001e-07,8e-09,1e-08,5.44200189409969,(-25.811289+1.62656j),1.78,(3.4860545163881614e-34+6.563106518525081e-35j),2.919657543291087e-19,5.672108621015879e-17,5.70130519644879e-17
8.920000000000001e-07,8e-09,1e-08,5.44200189409969,(-32.040668999999994+1.9254200000000001j),1.78,(2.3253268555743666e-34+1.919271488773097e-35j),9.069389937117222e-20,1.5268722273968142e-17,1.5359416173339316e-17
9.84e-07,8e-09,1e-08,5.44200189409969,(-40.2741+2.7939999999999996j),1.78,(1.8410928252278211e-34+9.944775466112236e-36j),3.824345826878133e-20,7.171847096919485e-18,7.210090555188267e-18
1.088e-06,8e-09,1e-08,5.44200189409969,(-51.04960000000001+3.8610000000000007j),1.78,(1.591700406752821e-34+5.907601698650888e-36j),1.9095269996867016e-20,3.853128117003457e-18,3.872223387000324e-18
1.216e-06,8e-09,1e-08,5.44200189409969,(-66.21852499999999+5.7014999999999985j),1.78,(1.4355213085619263e-34+3.954963609673552e-36j),9.947991372503455e-21,2.308022589765986e-18,2.3179705811384895e-18
1.393e-06,8e-09,1e-08,5.44200189409969,(-90.426461+8.18634j),1.78,(1.325446058982864e-34+2.4597684688908552e-36j),4.9225494375334314e-21,1.2530668820612358e-18,1.2579894314987692e-18
1.61e-06,8e-09,1e-08,5.44200189409969,(-125.35050000000004+12.555200000000005j),1.78,(1.2550825870601181e-34+1.6902322051738446e-36j),2.4730947313675286e-21,7.449920436406811e-19,7.474651383720486e-19
1.9370000000000003e-06,8e-09,1e-08,5.44200189409969,(-189.042+25.3552j),1.78,(1.2008466006674396e-34+1.3189764137100447e-36j),1.0805126715634425e-21,4.832129302260258e-19,4.842934428975892e-19
